Date,Date,High_Temp,Wind,Cloud_Cover,Rainfall
1,1,74.79,9.2,47.75,6.42
1,2,74.46,8.6,47.0,6.3
1,3,74.41,9.7,43.03,9.83
1,4,74.98,10.58,43.65,1.86
1,5,74.96,10.64,40.68,1.65
1,6,74.53,10.86,39.81,2.1
1,7,74.41,10.02,34.09,0.41
1,8,74.11,8.89,33.8,0.4
1,9,74.4,8.34,39.19,2.9
1,10,74.82,9.15,36.26,1.63
1,11,74.69,8.69,35.85,2.2
1,12,74.3,7.99,38.51,1.47
1,13,74.56,8.54,37.64,2.66
1,14,74.61,9.1,43.01,1.77
1,15,75.14,9.92,41.35,2.1
1,16,75.01,9.88,41.54,1.38
1,17,74.37,10.55,41.67,0.86
1,18,74.35,10.88,41.15,2.5
1,19,74.55,10.55,40.34,2.57
1,20,74.92,10.45,44.48,5.44
1,21,74.62,10.07,40.61,0.92
1,22,74.76,10.97,39.88,1.18
1,23,75.07,10.59,39.21,2.06
1,24,74.63,9.31,39.9,1.65
1,25,74.41,9.11,41.59,2.58
1,26,74.91,10.09,47.26,5.46
1,27,74.7,9.77,43.26,1.52
1,28,74.76,10.59,43.02,2.76
1,29,74.94,11.51,45.61,4.07
1,30,74.35,10.42,39.1,4.29
1,31,74.46,10.7,38.57,2.19
2,1,74.97,11.12,42.29,1.73
2,2,74.37,9.92,39.57,2.6
2,3,74.07,10.83,37.8,2.41
2,4,73.5,10.28,38.78,1.86
2,5,74.08,10.87,40.75,2.44
2,6,74.44,10.29,41.65,2.2
2,7,73.79,10.2,37.98,2.55
2,8,73.37,10.06,37.52,1.24
2,9,73.69,10.45,35.97,0.88
2,10,73.91,10.22,36.81,0.95
2,11,73.91,10.58,39.6,3.22
2,12,73.72,9.38,42.47,1.8
2,13,74.48,10.19,44.63,1.73
2,14,74.64,11.16,50.33,9.38
2,15,74.49,10.87,46.54,2.31
2,16,74.46,11.2,41.48,2.25
2,17,74.77,11.79,45.58,1.97
2,18,75.0,11.06,48.21,1.44
2,19,74.77,10.53,43.74,2.55
2,20,74.64,10.69,40.36,1.11
2,21,74.94,10.88,39.56,1.13
2,22,75.03,10.42,44.89,2.34
2,23,74.92,10.56,39.78,0.67
2,24,75.19,10.96,39.44,0.4
2,25,75.07,11.24,41.7,1.34
2,26,74.98,11.42,44.97,1.78
2,27,74.57,11.05,38.98,5.16
2,28,74.6,11.87,40.1,9.24
2,29,74.91,13.56,37.5,0.43
3,1,74.83,12.04,43.42,4.31
3,2,74.84,11.45,41.57,2.53
3,3,74.58,10.62,42.13,4.61
3,4,74.69,10.94,42.99,2.98
3,5,74.6,10.6,44.85,3.79
3,6,74.68,10.9,37.94,4.51
3,7,74.89,10.74,35.75,2.21
3,8,74.8,10.33,40.44,2.26
3,9,74.45,11.8,46.19,3.64
3,10,74.5,11.22,40.44,3.56
3,11,74.97,10.54,40.0,3.0
3,12,75.01,10.71,43.15,2.75
3,13,75.04,11.15,40.79,2.16
3,14,74.97,10.65,40.19,2.86
3,15,75.14,10.48,37.25,1.72
3,16,75.08,10.75,39.92,2.06
3,17,75.02,11.49,42.82,5.65
3,18,74.76,11.74,37.72,1.12
3,19,74.52,12.4,38.88,2.26
3,20,74.89,11.94,39.85,0.59
3,21,75.39,12.61,43.17,0.45
3,22,75.53,12.36,45.43,1.74
3,23,75.21,11.92,46.51,3.87
3,24,75.35,12.08,49.56,5.88
3,25,75.57,11.75,47.22,3.43
3,26,75.66,11.38,43.05,2.54
3,27,75.41,11.23,41.96,2.71
3,28,75.63,11.65,37.58,1.28
3,29,75.96,12.11,41.48,1.61
3,30,76.1,11.89,43.4,1.28
3,31,75.96,11.73,40.88,2.6
4,1,76.23,11.45,38.66,1.48
4,2,76.2,12.09,40.57,1.94
4,3,76.14,12.19,41.54,1.6
4,4,76.23,12.3,40.95,1.14
4,5,76.38,11.51,41.28,0.93
4,6,76.0,11.6,40.53,1.41
4,7,76.03,11.34,41.36,1.31
4,8,76.06,10.95,37.52,1.34
4,9,76.4,11.74,39.38,1.45
4,10,76.2,12.31,41.06,0.88
4,11,76.44,12.92,45.17,0.92
4,12,76.59,12.98,42.52,0.65
4,13,76.67,13.04,41.43,0.92
4,14,76.96,13.44,40.4,1.64
4,15,76.86,12.81,37.06,0.97
4,16,76.62,12.85,37.24,0.78
4,17,76.43,12.59,39.26,0.63
4,18,76.76,12.45,38.24,0.3
4,19,76.98,12.55,38.15,0.58
4,20,76.99,12.65,42.39,0.8
4,21,76.95,11.98,41.62,0.71
4,22,77.2,11.94,38.6,1.41
4,23,77.18,12.37,41.16,0.51
4,24,77.1,12.44,37.61,1.01
4,25,77.08,12.04,39.36,0.96
4,26,77.09,11.56,36.94,0.36
4,27,76.86,10.86,39.53,1.15
4,28,76.84,11.06,40.52,1.02
4,29,76.63,11.46,42.43,2.46
4,30,76.41,11.64,41.88,2.65
5,1,76.77,11.77,36.93,1.81
5,2,77.43,11.35,41.17,1.18
5,3,77.53,11.26,46.33,1.12
5,4,77.69,11.11,45.99,1.23
5,5,77.51,11.37,48.49,1.37
5,6,77.35,11.84,46.28,2.47
5,7,77.38,12.34,47.96,2.17
5,8,77.32,12.53,41.63,1.86
5,9,77.49,11.94,38.58,1.11
5,10,77.75,11.69,38.95,0.36
5,11,77.84,11.5,38.05,0.27
5,12,78.03,11.3,40.61,1.12
5,13,78.16,11.47,40.86,2.27
5,14,78.29,11.2,39.79,0.72
5,15,78.23,11.92,39.32,7.42
5,16,78.21,11.79,41.77,1.08
5,17,78.09,11.69,39.8,2.73
5,18,78.16,11.39,41.92,1.09
5,19,78.07,11.32,42.05,1.33
5,20,78.61,11.39,41.88,1.48
5,21,78.42,10.5,40.72,0.7
5,22,78.81,10.98,36.72,0.67
5,23,78.81,10.84,39.03,1.1
5,24,78.78,11.12,39.13,0.98
5,25,78.61,11.66,36.84,1.4
5,26,78.79,11.23,36.94,2.42
5,27,78.9,10.99,34.33,1.02
5,28,78.93,10.87,39.14,0.96
5,29,79.18,10.4,37.89,0.84
5,30,79.45,11.06,36.2,0.36
5,31,79.65,11.73,33.17,0.27
6,1,79.65,11.66,35.7,0.19
6,2,79.76,11.51,35.41,0.28
6,3,79.79,11.22,35.15,1.1
6,4,79.69,11.85,37.73,1.01
6,5,79.85,12.46,38.44,0.65
6,6,79.96,12.69,38.95,1.18
6,7,80.07,12.21,39.68,0.22
6,8,80.28,12.66,36.35,0.27
6,9,80.34,12.79,35.88,0.3
6,10,80.08,13.08,39.36,0.67
6,11,80.28,13.19,35.42,0.37
6,12,80.28,12.95,36.45,0.49
6,13,80.29,12.67,33.62,0.59
6,14,80.23,12.72,37.83,0.34
6,15,80.37,12.25,36.73,1.85
6,16,80.04,12.55,41.29,0.57
6,17,80.1,13.12,40.73,0.64
6,18,80.0,13.33,38.29,0.52
6,19,80.23,13.47,39.55,0.31
6,20,80.01,13.06,42.12,0.37
6,21,80.03,12.81,40.96,0.28
6,22,80.11,12.95,38.93,0.66
6,23,80.14,13.38,39.7,0.55
6,24,79.96,12.79,41.54,0.55
6,25,79.93,12.7,41.53,1.15
6,26,79.99,12.39,41.54,4.64
6,27,80.38,12.84,40.81,0.19
6,28,80.38,12.53,41.52,0.44
6,29,80.23,12.49,37.43,0.38
6,30,80.37,12.54,38.69,0.44
7,1,80.34,12.63,39.42,0.21
7,2,80.7,12.28,39.6,0.25
7,3,80.62,12.43,39.73,0.71
7,4,80.46,12.58,40.0,0.78
7,5,80.58,12.85,40.13,0.6
7,6,80.67,13.01,38.95,0.13
7,7,80.6,13.43,42.55,0.5
7,8,80.55,13.18,43.84,0.45
7,9,80.69,13.2,42.9,1.31
7,10,80.81,13.65,38.28,0.2
7,11,80.97,13.76,47.16,0.45
7,12,81.0,13.01,41.65,0.34
7,13,80.76,12.7,42.42,0.66
7,14,80.98,12.57,39.74,0.55
7,15,80.91,12.11,42.53,0.61
7,16,81.28,12.67,41.54,0.29
7,17,81.21,13.47,40.69,0.95
7,18,81.27,14.17,43.14,0.69
7,19,81.17,13.51,37.89,0.46
7,20,81.18,13.12,38.92,2.34
7,21,81.29,13.64,41.45,0.75
7,22,81.18,12.77,46.43,1.17
7,23,81.33,12.71,45.21,1.57
7,24,81.54,12.91,43.79,0.72
7,25,81.53,12.77,40.32,1.02
7,26,81.63,13.14,40.43,0.37
7,27,81.53,13.23,38.59,0.92
7,28,81.59,12.92,41.17,0.47
7,29,81.7,13.21,41.32,0.46
7,30,81.75,13.18,39.17,0.98
7,31,81.92,13.65,37.94,0.56
8,1,81.53,13.21,40.87,0.68
8,2,81.66,13.17,36.56,0.28
8,3,81.71,13.73,40.32,0.36
8,4,81.42,13.47,41.66,2.76
8,5,81.61,13.39,41.46,0.31
8,6,81.64,13.29,37.26,0.69
8,7,81.7,12.83,37.01,0.94
8,8,81.75,13.08,35.92,0.95
8,9,81.66,13.17,39.9,0.69
8,10,81.81,13.11,38.83,0.49
8,11,81.57,12.52,39.83,0.57
8,12,81.67,12.7,38.39,1.11
8,13,81.79,12.56,39.82,0.58
8,14,81.64,12.68,37.66,0.43
8,15,81.83,13.0,39.09,0.12
8,16,81.75,13.01,37.96,0.54
8,17,81.83,12.35,35.75,0.74
8,18,81.89,12.07,36.16,0.48
8,19,81.98,12.35,35.4,0.26
8,20,82.22,12.84,36.54,0.27
8,21,81.93,12.88,36.99,0.43
8,22,81.82,12.54,39.1,0.11
8,23,81.75,12.47,43.46,1.16
8,24,81.49,12.62,44.41,6.54
8,25,81.73,13.06,39.98,0.9
8,26,81.62,12.7,38.44,1.33
8,27,81.46,12.06,38.11,1.21
8,28,81.53,11.04,35.45,0.99
8,29,81.58,11.66,35.94,0.27
8,30,81.56,12.09,36.69,0.65
8,31,81.7,12.18,36.93,1.06
9,1,81.67,12.71,40.4,1.35
9,2,81.62,11.83,40.3,0.53
9,3,81.57,11.33,36.86,1.09
9,4,81.66,11.42,38.97,1.02
9,5,81.49,11.76,33.95,1.42
9,6,81.47,11.11,36.37,1.07
9,7,81.51,11.67,37.45,0.7
9,8,81.73,12.2,33.5,0.49
9,9,81.73,11.82,36.31,0.44
9,10,81.8,11.32,38.71,0.8
9,11,81.62,11.0,38.1,2.05
9,12,81.43,10.72,40.85,3.2
9,13,81.26,10.84,39.34,1.85
9,14,81.29,10.79,37.01,2.14
9,15,81.49,10.61,40.05,1.85
9,16,81.74,11.5,38.67,1.49
9,17,81.68,12.15,38.45,1.07
9,18,81.59,12.44,38.22,0.3
9,19,81.5,11.44,39.25,0.93
9,20,81.42,11.04,39.58,0.49
9,21,81.21,10.71,37.31,0.94
9,22,81.18,10.92,36.81,0.94
9,23,81.31,10.84,36.29,1.42
9,24,81.49,10.69,36.1,1.0
9,25,81.25,10.28,36.52,1.6
9,26,81.36,10.53,38.62,1.27
9,27,81.29,10.87,38.3,0.96
9,28,81.18,11.01,38.6,1.31
9,29,81.38,10.45,38.06,1.0
9,30,81.13,10.4,39.54,0.54
10,1,81.11,10.78,39.04,1.31
10,2,81.12,10.56,39.01,0.61
10,3,81.26,10.72,41.76,1.38
10,4,81.32,10.98,40.28,0.76
10,5,81.01,11.43,36.54,0.45
10,6,80.81,11.36,36.26,0.37
10,7,80.82,11.09,41.07,1.0
10,8,80.77,11.22,34.98,0.37
10,9,81.01,11.2,35.47,0.24
10,10,80.8,11.51,38.05,1.57
10,11,80.89,11.61,43.62,1.47
10,12,80.66,10.55,42.95,1.25
10,13,80.5,10.87,42.09,1.97
10,14,80.3,10.37,40.68,0.97
10,15,80.17,10.86,42.3,2.31
10,16,80.16,10.74,38.94,2.23
10,17,80.29,11.05,36.33,1.58
10,18,80.28,10.86,38.78,0.84
10,19,79.99,10.4,39.76,4.57
10,20,80.04,10.85,43.28,2.26
10,21,80.07,10.32,41.25,1.44
10,22,80.17,10.77,34.71,2.89
10,23,80.15,11.28,36.1,1.12
10,24,79.98,10.75,39.56,3.62
10,25,79.94,10.42,41.63,1.68
10,26,79.56,10.52,39.17,1.75
10,27,79.56,10.2,40.31,0.96
10,28,79.56,10.49,38.76,1.07
10,29,79.5,11.37,40.35,0.76
10,30,79.52,10.65,37.42,1.65
10,31,79.29,9.94,42.17,1.1
11,1,79.41,9.55,41.41,1.23
11,2,79.21,9.91,40.16,4.11
11,3,79.21,10.03,40.07,3.14
11,4,79.11,10.49,44.64,3.07
11,5,79.04,10.18,43.58,6.55
11,6,79.22,10.58,42.41,4.56
11,7,79.34,11.03,38.7,1.72
11,8,79.09,11.39,39.2,2.19
11,9,78.8,11.56,37.93,0.69
11,10,78.47,11.17,34.34,0.66
11,11,78.29,11.8,36.86,0.3
11,12,78.06,10.77,36.05,1.52
11,13,78.15,9.88,39.39,4.49
11,14,78.23,10.88,40.86,6.69
11,15,78.14,10.9,42.63,7.53
11,16,78.25,10.83,42.1,2.41
11,17,78.28,11.39,40.93,3.87
11,18,77.82,11.33,43.64,0.65
11,19,77.69,11.46,42.38,3.47
11,20,77.53,11.9,40.19,4.34
11,21,77.5,10.73,43.92,2.34
11,22,77.35,10.98,49.19,2.54
11,23,77.49,11.23,48.67,2.47
11,24,77.29,11.08,39.86,0.6
11,25,77.32,11.09,43.03,0.74
11,26,77.8,12.33,39.75,1.6
11,27,77.41,12.13,46.75,5.52
11,28,77.3,11.86,48.83,1.64
11,29,77.19,11.45,45.05,1.69
11,30,77.0,11.76,45.18,1.71
12,1,76.81,11.08,46.06,2.53
12,2,76.65,10.87,46.19,2.54
12,3,76.7,11.51,43.32,1.24
12,4,76.67,11.38,42.15,1.8
12,5,76.59,11.84,42.22,2.26
12,6,76.43,11.14,41.38,2.8
12,7,75.96,10.98,44.84,4.95
12,8,76.14,11.11,37.98,0.59
12,9,76.49,11.52,41.86,1.1
12,10,76.28,11.93,42.08,2.74
12,11,76.18,12.04,42.28,3.55
12,12,76.45,11.57,44.77,1.83
12,13,76.06,11.76,41.77,2.19
12,14,75.99,11.55,43.63,3.08
12,15,75.73,10.47,40.07,0.95
12,16,75.74,11.04,38.98,0.58
12,17,76.02,10.99,36.9,0.67
12,18,76.07,11.34,38.2,0.43
12,19,76.02,11.73,39.8,4.06
12,20,76.0,11.17,37.96,8.47
12,21,75.76,10.65,40.02,1.94
12,22,75.58,9.69,36.9,2.27
12,23,75.52,10.17,39.87,2.84
12,24,75.73,10.02,35.53,1.47
12,25,75.94,9.86,39.57,1.55
12,26,75.93,10.06,42.21,5.54
12,27,75.3,10.08,42.91,8.0
12,28,75.46,10.16,40.01,3.09
12,29,75.13,9.27,42.63,1.79
12,30,75.7,10.32,42.02,1.69
12,31,75.03,9.85,43.7,7.96
